"FORNECEDOR";"Valor";"C CUSTO";"Tipo de Despesa";"Gerente Responsavel"
"FRED ADMINISTRADORA DE CARTOES S.A.";355,85;"130010";;"Geisa"
"CAMERA PRESS LETTERA EDITORA LTDA";7,90;;;
"RENATO SORES PINTO";2044,22;;;
"LEONARDO RICHENA";927,46;;;
"ESG COMERCIO ELETRONICO LTDA - ME";2216,85;;;
"OSMEDIO FERREIRA - ME";27507,18;;;
"DANIELLE BERTULUCCI CAMILO";37,76;;;
"CARLOS FERNANDES BARBOSA";436,60;;;
"SEINHA CONSERTOS DE ELETROD E COM DE PE";110,08;"120070";;
"BRUNO RIBEIRO";10,43;;;
"TPRINTER  EQUIPAMENTOS PARA IMPRESSAO LT";8318,70;"120010";;
"SINTAPPI-MG SIN TRAB EMP ASSESS PESQ PER";25,00;"140010";;
"TELEMAR NORTE LESTE S/A. - EM RECUPERACA";39,50;"120010";;
"FRANARIMBOS INDUSTRIA E COMERCIO LTDA -";2796,60;"120010";;
" FRED S.A";1,23;"140010";;"Lilian"
"NESTLE BRASIL LTDA.";46,60;"120010";;
"VALE  S.A.";1003,01;"140010";;"Lilian"
